item_id,file_type,language,is_restricted,ocr_text_extracted,collection_id,subject_tags,file_size_mb,num_pages_or_frames,content_length_tokens,access_count_30d,duration_seconds,upload_year,upload_day_of_year,num_detected_objects
ITEM-0000001,pdf,es,false,true,COLL-003,thesis,12.97,164,13024,0,88.99,2023,95,0
ITEM-0000002,text,zh,false,true,COLL-006,"metadata quality,video lecture,audio interview",10.35,382,28462,0,67.35,2017,172,1
ITEM-0000003,text,zh,false,true,COLL-018,metadata quality,3.53,99,878,10,12.27,2024,185,1
ITEM-0000004,pdf,en,false,true,COLL-003,accessibility,2.04,235,1366,9,99.53,2022,329,0
ITEM-0000005,pdf,zh,false,true,COLL-003,"linguistics,digital preservation,training material",7.91,133,16954,14,76.28,2018,360,1
ITEM-0000006,text,en,false,true,COLL-011,"audio interview,accessibility",14.72,377,13845,5,55.47,2022,248,0
ITEM-0000007,image,it,false,true,COLL-018,"audio interview,poster,metadata quality",4.61,158,744,18,105.16,2019,160,1
ITEM-0000008,pdf,es,false,true,COLL-014,"accessibility,metadata quality,poster",18.01,310,9532,12,43.44,2016,8,1
ITEM-0000009,image,zh,false,true,COLL-010,"digital preservation,policy",12.12,55,23128,14,63.49,2022,236,0
ITEM-0000010,image,zh,false,true,COLL-007,video lecture,0.56,141,1660,8,116.63,2024,279,0
ITEM-0000011,pdf,es,false,false,COLL-010,machine learning,15.37,50,22378,17,114.42,2020,176,1
ITEM-0000012,image,fr,false,true,COLL-018,audio interview,5.2,298,7806,18,113.63,2023,194,0
ITEM-0000013,text,fa,false,true,COLL-015,"policy,accessibility,thesis",10.79,326,11940,19,50.78,2022,364,0
ITEM-0000014,pdf,en,false,false,COLL-011,training material,4.88,167,1234,10,2.52,2015,30,0
ITEM-0000015,text,fa,false,true,COLL-014,"metadata quality,linguistics",5.14,342,9335,15,25.71,2017,265,1
ITEM-0000016,image,ar,false,true,COLL-007,training material,9.61,100,26174,1,80.8,2019,189,0
ITEM-0000017,image,es,true,false,COLL-001,thesis,9.25,177,20159,13,22.02,2019,355,0
ITEM-0000018,text,en,false,true,COLL-015,"metadata quality,training material",3.74,255,1870,15,57.76,2016,310,0
ITEM-0000019,image,en,false,true,COLL-019,"training material,linguistics",13.41,161,14722,15,18.58,2021,181,0
ITEM-0000020,pdf,fa,false,false,COLL-008,"poster,machine learning,accessibility",3.57,85,480,16,9.61,2022,209,0
ITEM-0000021,image,ar,false,true,COLL-010,"video lecture,accessibility",8.67,183,15366,18,67.83,2022,187,0
ITEM-0000022,text,fr,false,false,COLL-008,"audio interview,digital preservation",0.68,87,304,19,119.81,2020,247,0
ITEM-0000023,image,zh,false,true,COLL-005,"accessibility,linguistics",9.04,384,25043,17,84.42,2022,179,0
ITEM-0000024,image,zh,false,true,COLL-002,linguistics,14.98,157,24819,4,32.68,2017,103,1
ITEM-0000025,image,it,false,true,COLL-001,accessibility,8.76,116,15929,8,5.29,2016,297,1
ITEM-0000026,pdf,en,false,false,COLL-002,"thesis,linguistics",18.93,348,17098,4,65.47,2019,300,0
ITEM-0000027,pdf,fr,false,true,COLL-014,digital preservation,13.51,367,18316,11,93.61,2025,139,0
ITEM-0000028,pdf,es,false,true,COLL-016,thesis,14.86,392,18491,10,93.89,2017,362,0
ITEM-0000029,pdf,fa,false,false,COLL-009,"linguistics,training material",16.42,164,12457,14,41.96,2022,147,0
ITEM-0000030,image,zh,true,true,COLL-012,"video lecture,metadata quality,training material",8.29,109,5904,17,39.74,2017,1,1
ITEM-0000031,image,de,false,true,COLL-011,"video lecture,accessibility,audio interview",2.76,273,190,18,22.81,2020,304,0
