item_id,file_type,language,is_restricted,ocr_text_extracted,collection_id,subject_tags,file_size_mb,num_pages_or_frames,content_length_tokens,access_count_30d,duration_seconds,upload_year,upload_day_of_year,num_detected_objects,high_access
ITEM-0000001,pdf,es,false,true,COLL-003,thesis,12.97,164,13024,5,88.99,2023,95,0,0
ITEM-0000002,text,zh,false,true,COLL-006,"metadata quality,video lecture,audio interview",10.35,382,28462,5,67.35,2017,172,1,0
ITEM-0000003,text,ar,false,true,COLL-015,"accessibility,metadata quality,linguistics",3.53,97,309,35,91.62,2016,32,1,0
ITEM-0000004,pdf,en,false,true,COLL-003,accessibility,11.26,345,16850,31,75.44,2022,329,0,0
ITEM-0000005,pdf,zh,false,true,COLL-003,"linguistics,digital preservation,training material",7.91,133,16954,19,76.28,2018,360,1,0
ITEM-0000006,text,en,false,true,COLL-011,"audio interview,accessibility",14.72,377,13845,10,55.47,2022,248,0,0
ITEM-0000007,text,fa,false,true,COLL-005,"digital preservation,thesis",4.61,211,1570,35,68.06,2022,128,0,1
ITEM-0000008,pdf,fr,false,true,COLL-002,digital preservation,15.03,269,24155,22,31.53,2019,22,1,0
ITEM-0000009,image,it,false,false,COLL-001,"accessibility,training material,audio interview",12.74,82,24543,30,81.66,2019,103,1,0
ITEM-0000010,image,zh,false,true,COLL-017,linguistics,15.49,130,19246,15,13.39,2015,14,1,0
ITEM-0000011,pdf,en,false,true,COLL-004,"audio interview,thesis",6.32,128,11517,25,60.92,2023,202,1,0
ITEM-0000012,pdf,fr,false,true,COLL-018,audio interview,1.63,93,261,33,68.08,2024,56,1,0
ITEM-0000013,text,fa,false,true,COLL-015,"policy,accessibility,thesis",10.79,326,11940,24,50.78,2022,364,0,0
ITEM-0000014,pdf,en,false,false,COLL-011,training material,4.88,167,1234,15,2.52,2015,30,0,0
ITEM-0000015,text,fa,false,true,COLL-014,"metadata quality,linguistics",5.14,117,22669,26,58.25,2017,265,1,1
ITEM-0000016,text,ar,false,true,COLL-007,training material,9.61,380,26412,28,6.5,2015,249,0,0
ITEM-0000017,image,es,true,false,COLL-001,thesis,9.25,177,20159,18,22.02,2019,355,0,0
ITEM-0000018,text,en,false,true,COLL-015,"metadata quality,training material",3.74,255,1870,20,57.76,2016,310,0,1
ITEM-0000019,image,en,false,true,COLL-019,"training material,linguistics",13.41,161,14722,20,18.58,2021,181,0,0
ITEM-0000020,pdf,de,false,false,COLL-019,poster,3.57,145,1843,35,60.94,2021,246,0,1
ITEM-0000021,text,de,false,true,COLL-009,"digital preservation,audio interview",12.09,348,26540,24,9.84,2025,176,1,0
ITEM-0000022,image,es,true,true,COLL-009,video lecture,9.42,54,7377,34,90.22,2021,353,1,1
ITEM-0000023,image,zh,false,false,COLL-017,linguistics,17.68,130,14338,33,29.31,2024,129,1,0
ITEM-0000024,pdf,fr,false,true,COLL-011,linguistics,16.43,118,8394,14,111.81,2016,108,1,0
ITEM-0000025,text,zh,true,true,COLL-005,"audio interview,digital preservation,policy",12.87,76,13228,13,60.65,2022,42,0,1
ITEM-0000026,pdf,ar,false,true,COLL-005,audio interview,11.26,88,8665,18,67.31,2021,43,0,0
ITEM-0000027,pdf,es,false,true,COLL-014,"digital preservation,thesis,linguistics",7.61,233,6307,34,95.53,2022,237,0,0
ITEM-0000028,text,fa,false,false,COLL-008,"digital preservation,accessibility",19.54,62,18510,30,21.25,2023,95,0,1
ITEM-0000029,text,de,false,true,COLL-013,"audio interview,accessibility",7.96,152,12288,6,103.03,2018,337,1,0
ITEM-0000030,pdf,es,false,true,COLL-019,"machine learning,accessibility",19.35,254,21692,13,42.14,2025,195,1,0
ITEM-0000031,image,de,false,true,COLL-001,"training material,thesis,video lecture",12.13,273,15278,16,87.43,2019,117,0,0
ITEM-0000032,pdf,zh,false,true,COLL-011,"audio interview,training material",8.91,369,15819,35,79.71,2022,161,1,0
ITEM-0000033,image,zh,false,true,COLL-010,"thesis,metadata quality",2.98,396,876,18,79.79,2021,330,0,0
ITEM-0000034,pdf,it,false,false,COLL-006,"accessibility,audio interview,training material",15.82,276,20236,24,78.56,2022,211,1,0
ITEM-0000035,pdf,fr,true,true,COLL-016,"accessibility,policy,metadata quality",13.45,170,29613,24,40.22,2017,190,1,0
ITEM-0000036,pdf,fr,false,true,COLL-004,"thesis,digital preservation",17.78,246,27818,23,23.33,2019,176,1,0
ITEM-0000037,pdf,it,false,true,COLL-017,"poster,video lecture,policy",16.18,335,6645,27,62.15,2025,105,0,0
ITEM-0000038,pdf,it,false,true,COLL-009,"policy,thesis,audio interview",12.45,330,18983,28,107.04,2025,22,1,0
ITEM-0000039,image,es,false,true,COLL-005,"thesis,accessibility,metadata quality",9.08,221,13903,27,34.29,2025,5,1,0
